SUMMONS_NUMBER,PLATE,STATE,WS_TYPE,ISSUE_DATE,VIOLATION_DESCRIPTION,VIOLATION_CODE,FINE_AMOUNT,VIOLATION_COUNTY,FRONT_OF_OPPOSITE,HOUSE_NUMBER,STREET_NAME,INTERSECT_STREET_NAME,STREET_CODE1,STREET_CODE2,STREET_CODE3
1262656760,BXJ5493,NY,PAS,20100301,,21,045,K,F,245,61 ST,,09630,05130,05280
7641068984,EPE8649,NY,PAS,20100330,46A-Double Parking (Non-COM),46,115,K,F,7705,18th Ave,,06880,10430,10480
7120760890,BXJ6152,NY,PAS,20100305,46A-Double Parking (Non-COM),46,115,Q,F,9-45,44th Rd,,10040,05540,05640
1289548079,BXJ6410,NY,PAS,20100302,,21,045,K,F,945,E 19 ST,,35680,14030,14080
7232671933,EPE8758,NY,PAS,20100330,38-Failure to Display Muni Rec,38,035,K,F,1912,86th St,,10880,06980,16480
7252308364,BXJ6797,NY,PAS,20100306,19-No Stand (bus stop)                                                 Y015001003,19,115,K,F,8410,5th Ave,,05580,10780,10830
7730086438,BXJ7465,NY,PAS,20100305,14-No Standing                                                         Y015001003,14,115,K,O,139,Lawrence St,,54650,93250,42730
7455802936,EPE9473,NY,PAS,20100330,34-Expired Meter,34,035,Q,O,103-54,94th St,,18740,60810,53790
1290965419,DBP1276,NY,PAS,20100327,,46,115,Q,I,,,87 DR,00000,17640,00000
7937029225,BXJ8081,NY,PAS,20100306,14-No Standing                                                         Y015001003,14,115,NY,O,237A,Grand St,,21690,13460,15310
7230735725,BXJ8651,NY,PAS,20100307,40-Fire Hydrant,40,115,K,I,N,46th St,20ft E/of 16th Ave,08880,00000,00000
7298007038,EPF1130,NY,PAS,20100330,34-Expired Meter,34,035,NY,F,2893,Broadway,,13610,36010,36030
7654284779,BXJ8680,NY,PAS,20100306,34-Expired Meter                                                       Y015001003,34,035,K,F,645,5th Ave,,05580,06930,07030
7313469743,EPF2144,NY,PAS,20100330,32A Overtime PKG-Broken Meter,32,035,NY,F,2,Bennett Ave,,13110,37370,37430
7734461920,BXJ9179,NY,PAS,20100305,83-Improper Registration,83,065,K,O,6324,5th Ave,,05580,09730,09780
7691723234,BXK1225,NY,PAS,20100306,71A-Insp Sticker Expired (NYS),71,065,K,O,2237,New York Ave,,64830,54050,14280
7243481735,EPF2818,NY,PAS,20100330,34-Expired Meter,34,035,K,F,1909,Kings Hwy,,54050,35680,67530
7124611659,EPF3070,NY,PAS,20100330,34-Expired Meter,34,035,Q,F,80-04,Baxter Ave,,29490,37290,53290
7767271377,EPF3682,NY,PAS,20100330,34-Expired Meter,34,035,R,I,W,Llewellyn Pl,25ft S/of Forest Ave,00000,00000,00000
7204590600,BXK2313,NY,PAS,20100305,46A-Double Parking (Non-COM)                                           Y015001003,46,115,K,O,1302,83rd St,,10730,06380,06480
7521051695,BXK2398,NY,PAS,20100305,71A-Insp Sticker Expired (NYS),71,065,K,O,135,21st St,,07330,05280,05430
7222732676,BXK3451,NY,PAS,20100306,20-No Parking                                                          Y015001003,20,060,K,O,1000,Nostrand Ave,,67030,83030,39430
7222732688,BXK3451,NY,PAS,20100306,74B-Covered Plate                                                      Y015001003,74,065,K,O,1000,Nostrand Ave,,67030,83030,39430
7529095298,BXK3504,NY,PAS,20100305,71A-Insp Sticker Expired (NYS),71,065,K,O,162,13th St,,06430,05280,05430
